0	1	1		0
0,1	1	0,995012479		0,501252086
0,2	0,99	0,980198673		0,999932663
0,3	0,9702	0,955997482		1,485622968
0,4	0,941094	0,923116346		1,947495967
0,5	0,90345024	0,882496903		2,374324188
0,6	0,858277728	0,835270211		2,754499834
0,7	0,806781064	0,782704538		3,076068287
0,8	0,75030639	0,726149037		3,326776118
0,9	0,690281879	0,666976811		3,494134638
1	0,62815651	0,60653066		3,565499863
1,1	0,565340859	0,546074427		3,528169608
1,2	0,503153364	0,486752256		3,369498136
1,3	0,44277496	0,429557358		3,077028479
1,4	0,385214216	0,375311099		2,638642123
1,5	0,331284225	0,324652467		2,04272529
1,6	0,281591592	0,2780373		1,278350474
1,7	0,236536937	0,235746077		0,335471283
1,8	0,196325658	0,197898699		-0,794872036
1,9	0,160987039	0,164474457		-2,120339757
2	0,130399502	0,135335283		-3,647076578
2,1	0,104319601	0,110250525		-5,379497133
2,2	0,082412485	0,088921617		-7,320078621
2,3	0,064281738	0,071005354		-9,469166715
2,4	0,049496939	0,056134763		
2,5	0,037617673	0,043936934		
2,6	0,028213255	0,034047455		
2,7	0,020877809	0,02612141		
2,8	0,0152408	0,019841095		
2,9	0,010973376	0,014920786		
3	0,007791097	0,011108997		
3,1	0,005453768	0,008188701		
3,2	0,0037631	0,005976023		
3,3	0,002558908	0,00431784		
3,4	0,001714468	0,003088715		
3,5	0,001131549	0,002187491		
3,6	7,36E-04	0,001533811		
3,7	4,71E-04	0,001064766		
3,8	2,97E-04	7,32E-04		
3,9	1,84E-04	4,98E-04		
4	1,12E-04	3,35E-04		
4,1	6,73E-05	2,24E-04		
4,2	3,97E-05	1,48E-04		
4,3	2,30E-05	9,66E-05		
4,4	1,31E-05	6,25E-05		
4,5	7,35E-06	4,01E-05		
4,6	4,04E-06	2,54E-05		
4,7	2,18E-06	1,60E-05		
4,8	1,16E-06	9,93E-06		
4,9	6,02E-07	6,11E-06		
5	3,07E-07	3,73E-06		
5,1	1,53E-07	2,25E-06		
5,2	7,52E-08	1,34E-06		
5,3	3,61E-08	7,95E-07		
5,4	1,70E-08	4,66E-07		
5,5	7,80E-09	2,70E-07		
5,6	3,51E-09	1,55E-07		
5,7	1,54E-09	8,81E-08		
5,8	6,64E-10	4,96E-08		
5,9	2,79E-10	2,76E-08		
6	1,14E-10	1,52E-08		
6,1	4,58E-11	8,32E-09		
6,2	1,78E-11	4,50E-09		
6,3	6,78E-12	2,41E-09		
6,4	2,51E-12	1,28E-09		
6,5	9,03E-13	6,69E-10		
6,6	3,16E-13	3,48E-10		
6,7	1,07E-13	1,79E-10		
6,8	3,55E-14	9,10E-11		
6,9	1,13E-14	4,59E-11		
7	3,52E-15	2,29E-11		
7,1	1,06E-15	1,13E-11		
7,2	3,06E-16	5,53E-12		
7,3	8,57E-17	2,68E-12		
7,4	2,31E-17	1,29E-12		
7,5	6,02E-18	6,10E-13		
7,6	1,50E-18	2,87E-13		
7,7	3,61E-19	1,33E-13		
7,8	8,30E-20	6,15E-14		
7,9	1,83E-20	2,80E-14		
8	3,84E-21	1,27E-14		
8,1	7,67E-22	5,66E-15		
8,2	1,46E-22	2,51E-15		
8,3	2,62E-23	1,10E-15		
8,4	4,46E-24	4,77E-16		
8,5	7,14E-25	2,05E-16		
8,6	1,07E-25	8,71E-17		
8,7	1,50E-26	3,67E-17		
8,8	1,95E-27	1,53E-17		
8,9	2,34E-28	6,31E-18		
9	2,57E-29	2,58E-18		
9,1	2,57E-30	1,04E-18		
9,2	2,31E-31	4,18E-19		
9,3	1,85E-32	1,66E-19		
9,4	1,30E-33	6,50E-20		
9,5	7,78E-35	2,53E-20		
9,6	3,89E-36	9,72E-21		
9,7	1,56E-37	3,70E-21		
9,8	4,67E-39	1,40E-21		
9,9	9,33E-41	5,22E-22		
10	9,33E-43	1,93E-22		
