L	X	Y	K1	K2	K3	K4	Yexato	Erro
38	3,8000000000000003	2,965563862153521E-4	-0,001126914267618338	-9,248110904125754E-4	-9,637159520246849E-4	-7,807206849502461E-4	7,318024188804721E-4	-59,47589423535511
39	3,9000000000000004	1,8386495945351826E-4	-7,170733418687213E-4	-5,846446048223247E-4	-6,10799280388988E-4	-4,911401256584778E-4	4,97955421503273E-4	-63,07602015890297
40	4,0	1,1215762526664612E-4	-4,486305010665845E-4	-3,633907058639334E-4	-3,8065176439247024E-4	-3,037790401923363E-4	3,3546262790251185E-4	-66,56628311537581
41	4,1000000000000005	6,729457515998767E-5	-2,7590775815594947E-4	-2,2202162709658932E-4	-2,3320299929140657E-4	-1,8469195596955743E-4	2,2374579372061977E-4	-69,92364681321561
42	4,2	3,9703799344392715E-5	-1,667559572464494E-4	-1,3330550629879853E-4	-1,4041372712517435E-4	-1,103484345170637E-4	1,4774836023203364E-4	-73,12741794085613
43	4,3	2,3028203619747772E-5	-9,902127556491542E-5	-7,86355583105337E-5	-8,306945181336172E-5	-6,477353712901103E-5	9,659341372218401E-5	-76,15965443981506
44	4,4	1,312607606325623E-5	-5,7754734678327414E-5	-4,556061001556237E-5	-4,8273802753027595E-5	-3,734413104579061E-5	6,252150377482015E-5	-79,00550167422138
45	4,5	7,350602595423488E-6	-3,3077711679405696E-5	-2,5920062402112075E-5	-2,7548427612696372E-5	-2,1140495237107712E-5	4,006529739295107E-5	-81,65344306987043
46	4,6000000000000005	4,042831427482918E-6	-1,8597024566421426E-5	-1,4475357926102591E-5	-1,543364541997672E-5	-1,1747494361780658E-5	2,5419346516199203E-5	-84,09545491302654
47	4,7	2,1831289708407757E-6	-1,0260706162951646E-5	-7,932944897792669E-6	-8,485788198267926E-6	-6,405840724867118E-6	1,5966783897804717E-5	-86,32705881902156
48	4,800000000000001	1,157058354545611E-6	-5,5538801018189335E-6	-4,264917094855123E-6	-4,577490624043846E-6	-3,426615531492009E-6	9,929504305851046E-6	-88,34726972358727
49	4,9	6,016703443637176E-7	-2,9481846873822165E-6	-2,248592494473304E-6	-2,4217415622182595E-6	-1,7974809407094583E-6	6,113567966371391E-6	-90,15844188412893
50	5,0	3,06851875625496E-7	-1,5342593781274798E-6	-1,1622014789315661E-6	-1,2561460984785343E-6	-9,243100554659769E-7	3,726653172078671E-6	-91,76602003308135
51	5,1000000000000005	1,53425937812748E-7	-7,824722828450148E-7	-5,886569669030608E-7	-6,385644107581141E-7	-4,6576138303207025E-7	2,2490559670323387E-6	-93,17820720952552
52	5,2	7,517870952824649E-8	-3,909292895468818E-7	-2,920692865172376E-7	-3,180200373125192E-7	-2,298965407240712E-7	1,343812277631519E-6	-94,40556461794279
53	5,300000000000001	3,6085780573558314E-8	-1,912546370398591E-7	-1,4189831066037468E-7	-1,5510112796688678E-7	-1,1110860599509604E-7	7,949393615349112E-7	-95,46056185922383
54	5,4	1,6960316869572404E-8	-9,158571109569099E-8	-6,74766206655938E-8	-7,40463478077953E-8	-5,2556251488360804E-8	4,655715715783078E-7	-96,35709783308371
55	5,5	7,801745760003305E-9	-4,290960168001818E-8	-3,13922745018133E-8	-3,458833279376515E-8	-2,4320309891510027E-8	2,6995785033630146E-7	-97,11001337790908
56	5,6000000000000005	3,510785592001487E-9	-1,966039931520833E-8	-1,4281875788262051E-8	-1,5801308684624375E-8	-1,1004731924172584E-8	1,5497531357028912E-7	-97,73461623588896
57	5,7	1,5447456604806541E-9	-8,805050264739729E-9	-6,350835596651089E-9	-7,056422313726574E-9	-4,866799888826381E-9	8,808179196460557E-8	-98,24623724605718
58	5,800000000000001	6,642406340066812E-10	-3,8525956772387515E-9	-2,7589234733467506E-9	-3,078822592985161E-9	-2,1025144107781743E-9	4,95640531917248E-8	-98,65983390939145
59	5,9	2,7898106628280606E-10	-1,645988291068556E-9	-1,1702558277898006E-9	-1,3117862356152304E-9	-8,86814656327698E-10	2,761242456828035E-8	-98,98965385820091
60	6,0	1,1438223717595046E-10	-6,862934230557027E-10	-4,844087744401501E-10	-5,454788806463548E-10	-3,649895295790213E-10	1,522997974471263E-8	-99,24896658371682
61	6,1000000000000005	4,575289487038017E-11	-2,790926587093191E-10	-1,9555931089972246E-10	-2,212458153511734E-10	-1,4649554267862956E-10	8,316702456828303E-9	-99,44986735899377
62	6,2	1,7843628999448262E-11	-1,1063049979657923E-10	-7,695065006012063E-11	-8,747560310276394E-11	-5,7305232741782765E-11	4,4963494622808535E-9	-99,60315297667285
63	6,300000000000001	6,780579019790338E-12	-4,2717647824679135E-11	-2,9493823591333025E-11	-3,369238778542041E-11	-2,18325775439891E-11	2,406722436301035E-9	-99,718265018121
64	6,4	2,508814237322424E-12	-1,6056411118863515E-11	-1,1003659244896152E-11	-1,2633171724250627E-11	-8,095730921832848E-12	1,2754076295260396E-9	-99,80329314493322
65	6,5	9,031731254360723E-13	-5,87062531533447E-12	-3,993154180834234E-12	-4,6080259773830615E-12	-2,9196454828052563E-12	6,691586091292783E-10	-99,8650285428426
66	6,6000000000000005	3,161105939026253E-13	-2,0863299197573273E-12	-1,408430751133147E-12	-1,6338322247006868E-12	-1,0232733885981294E-12	3,4758912812399096E-10	-99,90905624821791
67	6,7	1,0747760192689256E-13	-7,200999329101802E-13	-4,82440085649339E-13	-5,626502840998729E-13	-3,482454999149559E-13	1,7875588711279812E-10	-99,93987465047287
68	6,800000000000001	3,5467608635874536E-14	-2,411797387239469E-13	-1,6034905864278875E-13	-1,8803356657058542E-13	-1,1498333865383036E-13	9,101470764487903E-11	-99,96103090417621
69	6,9	1,1349634763479845E-14	-7,831247986801094E-14	-5,1666374852051124E-14	-6,092589634509715E-14	-3,6799315902790906E-14	4,5879624871392754E-11	-99,97526214567951
70	7,0	3,518386776678751E-15	-2,4628707436751257E-14	-1,6123007404130374E-14	-1,9121266665629236E-14	-1,1404446781822374E-14	2,289734845645553E-11	-99,98463408641672
71	7,1000000000000005	1,0555160330036251E-15	-7,494163834325739E-15	-4,867776065204468E-15	-5,806709692665322E-15	-3,4188844589070688E-15	1,1313776200065247E-11	-99,99067052402012
72	7,2	3,060996495710512E-16	-2,2039174769115687E-15	-1,4203023740096776E-15	-1,704362848811613E-15	-9,903425622361964E-16	5,5346100717010135E-12	-99,99446935474033
73	7,300000000000001	8,570790187989431E-17	-6,256676837232285E-16	-4,0002020504893674E-16	-4,82945653461739E-16	-2,768586903495311E-16	2,6805476373125876E-12	-99,99680259732426
74	7,4	2,3141133507571455E-17	-1,7124438795602878E-16	-1,0861291011778663E-16	-1,3194313561253181E-16	-7,460114959738705E-17	1,2853372251336457E-12	-99,99819960606017
75	7,5	6,016694711968577E-18	-4,5125210339764326E-17	-2,839127817210173E-17	-3,4708337565394355E-17	-1,9348543261261472E-17	6,101936677605324E-13	-99,99901396965753
76	7,6000000000000005	1,5041736779921443E-18	-1,1431719952740297E-17	-7,13429575471674E-18	-8,778060510460751E-18	-4,8230307274847316E-18	2,8679750088880877E-13	-99,99947552762025
77	7,7	3,610016827181144E-19	-2,779712956929481E-18	-1,7206242702552129E-18	-2,1310211363414917E-18	-1,1536166388549287E-18	1,3345660848219846E-13	-99,9997294988335
78	7,800000000000001	8,303038702516632E-20	-6,476370187962974E-19	-3,975910082700089E-19	-4,957340674015771E-19	-2,64310144251568E-19	6,148396412704735E-14	-99,99986495602845
79	7,9	1,8266685145536578E-20	-1,4430681264973898E-19	-8,785818887874455E-20	-1,1029651682771484E-19	-5,789626770212076E-20	2,8044047382227872E-14	-99,99993486430508
80	8,0	3,836003880562681E-21	-3,0688031044501446E-20	-1,852789874311775E-20	-2,342235199442469E-20	-1,2099526317073713E-20	1,2664165549094176E-14	-99,99996970977783
81	8,1	7,672007761125359E-22	-6,21432628651154E-21	-3,720348363563715E-21	-4,736644367164954E-21	-2,406997983047531E-21	5,6619955169489504E-15	-99,99998644999323
82	8,200000000000001	1,4576814746138182E-22	-1,195298809183331E-21	-7,09526457768276E-22	-9,099075527269864E-22	-4,546523551660704E-22	2,506221887145239E-15	-99,99999418374934
83	8,3	2,6238266543048696E-23	-2,177776123073042E-22	-1,2816737249615715E-22	-1,6557964761731104E-22	-8,131453496306778E-23	1,0983141298285893E-15	-99,9999976110417
84	8,4	4,4605053123182766E-24	-3,7468244623473525E-23	-2,1860936535671877E-23	-2,845502420276807E-23	-1,372752458235249E-23	4,765304735299088E-16	-99,9999990639622
85	8,5	7,136808499709242E-25	-6,066287224752855E-24	-3,5086334786695565E-24	-4,602030455120167E-24	-2,179909118346604E-24	2,0469717131642043E-16	-99,99999965134796
86	8,6	1,0705212749563857E-25	-9,206482964624916E-25	-5,2782051461724595E-25	-6,977185302653148E-25	-3,2433838788123163E-25	8,705426622296251E-17	-99,99999987702829
87	8,700000000000001	1,4987297849389402E-26	-1,303894912896878E-25	-7,409345374291886E-26	-9,872297016963028E-26	-4,5012007325352095E-26	3,665433395601019E-17	-99,99999995911179
88	8,8	1,94834872042062E-27	-1,7145468739701456E-26	-9,656016258404593E-27	-1,2970098981378455E-26	-5,7969155183166926E-27	1,5279799682872937E-17	-99,99999998724887
89	8,9	2,3380184645047427E-28	-2,080836433409221E-27	-1,1613522217811184E-27	-1,5728214064846943E-27	-6,886773522180435E-28	6,306189893986403E-18	-99,9999999962925
90	9,0	2,571820310955213E-29	-2,3146382798596917E-28	-1,2801235597779573E-28	-1,748241470614942E-28	-7,494567447096464E-29	2,576757109154981E-18	-99,99999999900193
91	9,1	2,571820310955213E-30	-2,3403564829692436E-29	-1,282502493565591E-29	-1,7664706937177622E-29	-7,409216478584546E-30	1,0424061783901673E-18	-99,99999999975327
92	9,200000000000001	2,3146382798596904E-31	-2,1294672174709154E-30	-1,1561618207899156E-30	-1,606315566754878E-30	-6,587401231874754E-31	4,175010055850485E-19	-99,99999999994456
93	9,3	1,8517106238877467E-32	-1,7220908802156046E-31	-9,262719468342482E-32	-1,2983172981900324E-31	-5,201897261558515E-32	1,6555226620987626E-19	-99,99999999998882
94	9,4	1,2961974367214209E-33	-1,2184255905181357E-32	-6,492004861819236E-33	-9,18159347980784E-33	-3,5913618430360505E-33	6,499347972070847E-20	-99,999999999998
95	9,5	7,777184620328521E-35	-7,388325389312095E-34	-3,899285939017213E-34	-5,565302276533018E-34	-2,1234070500436824E-34	2,5261637809256925E-20	-99,9999999999997
96	9,600000000000001	3,8885923101642584E-36	-3,7330486177576886E-35	-1,951295621240425E-35	-2,810991442060005E-35	-1,0452728420611257E-35	9,720985020300642E-21	-99,99999999999996
97	9,700000000000001	1,5554369240656993E-37	-1,5087738163437284E-36	-7,810237654964893E-37	-1,1358019152845184E-36	-4,112423086055571E-37	3,7035319776523184E-21	-100,0
98	9,8	4,6663107721970646E-39	-4,5729845567531236E-38	-2,3441212164131954E-38	-3,44183641153061E-38	-1,21222961705979E-38	1,3969439431470891E-21	-100,0
99	9,9	9,33262154439411E-41	-9,23929532895017E-40	-4,6894090105194314E-40	-6,9529774539387236E-40	-2,3796440904553865E-40	5,216736662027038E-22	-100,0
100	10,0	9,332621544394054E-43	-9,332621544394054E-42	-4,6896423260580124E-42	-7,022739383271873E-42	-2,332980982733402E-42	1,9287498479639178E-22	-100,0
